2021-03-08 09:45:25,756 [INFO] request_api.py line:25  【test_get_weather_info_016】的执行结果为：{'weatherinfo': {'city': '成都', 'cityid': '101270101', 'temp': '21', 'WD': '北风', 'WS': '小于3级', 'SD': '61%', 'AP': '945.7hPa', 'njd': '暂无实况', 'WSE': '<3', 'time': '17:00', 'sm': '0', 'isRadar': '1', 'Radar': 'JC_RADAR_AZ9280_JB'}}
2021-03-08 09:49:34,793 [INFO] request_api.py line:25  【test_get_weather_info_001】的执行结果为：{'weatherinfo': {'city': '成都', 'cityid': '101270101', 'temp': '21', 'WD': '北风', 'WS': '小于3级', 'SD': '61%', 'AP': '945.7hPa', 'njd': '暂无实况', 'WSE': '<3', 'time': '17:00', 'sm': '0', 'isRadar': '1', 'Radar': 'JC_RADAR_AZ9280_JB'}}
2021-03-08 09:49:34,809 [INFO] request_api.py line:25  【test_get_weather_info_002】的执行结果为：{'weatherinfo': {'city': '成都', 'cityid': '101270101', 'temp': '21', 'WD': '北风', 'WS': '小于3级', 'SD': '61%', 'AP': '945.7hPa', 'njd': '暂无实况', 'WSE': '<3', 'time': '17:00', 'sm': '0', 'isRadar': '1', 'Radar': 'JC_RADAR_AZ9280_JB'}}
2021-03-08 09:49:34,825 [INFO] request_api.py line:25  【test_get_weather_info_003】的执行结果为：{'weatherinfo': {'city': '成都', 'cityid': '101270101', 'temp': '21', 'WD': '北风', 'WS': '小于3级', 'SD': '61%', 'AP': '945.7hPa', 'njd': '暂无实况', 'WSE': '<3', 'time': '17:00', 'sm': '0', 'isRadar': '1', 'Radar': 'JC_RADAR_AZ9280_JB'}}
2021-03-08 09:49:34,845 [INFO] request_api.py line:25  【test_get_weather_info_004】的执行结果为：{'weatherinfo': {'city': '成都', 'cityid': '101270101', 'temp': '21', 'WD': '北风', 'WS': '小于3级', 'SD': '61%', 'AP': '945.7hPa', 'njd': '暂无实况', 'WSE': '<3', 'time': '17:00', 'sm': '0', 'isRadar': '1', 'Radar': 'JC_RADAR_AZ9280_JB'}}
2021-03-08 09:49:34,864 [INFO] request_api.py line:25  【test_get_weather_info_005】的执行结果为：{'weatherinfo': {'city': '成都', 'cityid': '101270101', 'temp': '21', 'WD': '北风', 'WS': '小于3级', 'SD': '61%', 'AP': '945.7hPa', 'njd': '暂无实况', 'WSE': '<3', 'time': '17:00', 'sm': '0', 'isRadar': '1', 'Radar': 'JC_RADAR_AZ9280_JB'}}
2021-03-08 09:49:34,878 [INFO] request_api.py line:25  【test_get_weather_info_006】的执行结果为：{'weatherinfo': {'city': '成都', 'cityid': '101270101', 'temp': '21', 'WD': '北风', 'WS': '小于3级', 'SD': '61%', 'AP': '945.7hPa', 'njd': '暂无实况', 'WSE': '<3', 'time': '17:00', 'sm': '0', 'isRadar': '1', 'Radar': 'JC_RADAR_AZ9280_JB'}}
2021-03-08 09:49:34,895 [INFO] request_api.py line:25  【test_get_weather_info_007】的执行结果为：{'weatherinfo': {'city': '成都', 'cityid': '101270101', 'temp': '21', 'WD': '北风', 'WS': '小于3级', 'SD': '61%', 'AP': '945.7hPa', 'njd': '暂无实况', 'WSE': '<3', 'time': '17:00', 'sm': '0', 'isRadar': '1', 'Radar': 'JC_RADAR_AZ9280_JB'}}
2021-03-08 09:49:34,913 [INFO] request_api.py line:25  【test_get_weather_info_008】的执行结果为：{'weatherinfo': {'city': '成都', 'cityid': '101270101', 'temp': '21', 'WD': '北风', 'WS': '小于3级', 'SD': '61%', 'AP': '945.7hPa', 'njd': '暂无实况', 'WSE': '<3', 'time': '17:00', 'sm': '0', 'isRadar': '1', 'Radar': 'JC_RADAR_AZ9280_JB'}}
2021-03-08 09:49:34,925 [INFO] request_api.py line:25  【test_get_weather_info_009】的执行结果为：{'weatherinfo': {'city': '成都', 'cityid': '101270101', 'temp': '21', 'WD': '北风', 'WS': '小于3级', 'SD': '61%', 'AP': '945.7hPa', 'njd': '暂无实况', 'WSE': '<3', 'time': '17:00', 'sm': '0', 'isRadar': '1', 'Radar': 'JC_RADAR_AZ9280_JB'}}
2021-03-08 09:49:34,941 [INFO] request_api.py line:25  【test_get_weather_info_010】的执行结果为：{'weatherinfo': {'city': '成都', 'cityid': '101270101', 'temp': '21', 'WD': '北风', 'WS': '小于3级', 'SD': '61%', 'AP': '945.7hPa', 'njd': '暂无实况', 'WSE': '<3', 'time': '17:00', 'sm': '0', 'isRadar': '1', 'Radar': 'JC_RADAR_AZ9280_JB'}}
2021-03-08 09:49:34,958 [INFO] request_api.py line:25  【test_get_weather_info_011】的执行结果为：{'weatherinfo': {'city': '成都', 'cityid': '101270101', 'temp': '21', 'WD': '北风', 'WS': '小于3级', 'SD': '61%', 'AP': '945.7hPa', 'njd': '暂无实况', 'WSE': '<3', 'time': '17:00', 'sm': '0', 'isRadar': '1', 'Radar': 'JC_RADAR_AZ9280_JB'}}
2021-03-08 09:49:34,977 [INFO] request_api.py line:25  【test_get_weather_info_012】的执行结果为：{'weatherinfo': {'city': '成都', 'cityid': '101270101', 'temp': '21', 'WD': '北风', 'WS': '小于3级', 'SD': '61%', 'AP': '945.7hPa', 'njd': '暂无实况', 'WSE': '<3', 'time': '17:00', 'sm': '0', 'isRadar': '1', 'Radar': 'JC_RADAR_AZ9280_JB'}}
2021-03-08 09:49:34,996 [INFO] request_api.py line:25  【test_get_weather_info_013】的执行结果为：{'weatherinfo': {'city': '成都', 'cityid': '101270101', 'temp': '21', 'WD': '北风', 'WS': '小于3级', 'SD': '61%', 'AP': '945.7hPa', 'njd': '暂无实况', 'WSE': '<3', 'time': '17:00', 'sm': '0', 'isRadar': '1', 'Radar': 'JC_RADAR_AZ9280_JB'}}
2021-03-08 09:49:35,014 [INFO] request_api.py line:25  【test_get_weather_info_014】的执行结果为：{'weatherinfo': {'city': '成都', 'cityid': '101270101', 'temp': '21', 'WD': '北风', 'WS': '小于3级', 'SD': '61%', 'AP': '945.7hPa', 'njd': '暂无实况', 'WSE': '<3', 'time': '17:00', 'sm': '0', 'isRadar': '1', 'Radar': 'JC_RADAR_AZ9280_JB'}}
2021-03-08 09:49:35,034 [INFO] request_api.py line:25  【test_get_weather_info_015】的执行结果为：{'weatherinfo': {'city': '成都', 'cityid': '101270101', 'temp': '21', 'WD': '北风', 'WS': '小于3级', 'SD': '61%', 'AP': '945.7hPa', 'njd': '暂无实况', 'WSE': '<3', 'time': '17:00', 'sm': '0', 'isRadar': '1', 'Radar': 'JC_RADAR_AZ9280_JB'}}
